City,County,Type,Zip,latitude,longitude
Fleming Island,Clay,Standard,32003,30.16,-81.7
Ponte Vedra Beach,Saint Johns,P.O. Box,32004,29.937673,-81.420603
Fleming Island,Clay,P.O. Box,32006,30.11,-81.72
Bostwick,Putnam,P.O. Box,32007,29.799631,-81.627324
Branford,Suwannee,Standard,32008,29.928691,-82.91032
Bryceville,Nassau,Standard,32009,30.421425,-81.95741
Callahan,Nassau,Standard,32011,30.567684,-81.84051
Day,Lafayette,P.O. Box,32013,30.193758,-83.29266
Lake City,Columbia,Standard,32024,30.108128,-82.72529
Lake City,Columbia,Standard,32025,30.155229,-82.62165
Raiford,Union,Unique,32026,30.06,-82.24
Doctors Inlet,Clay,P.O. Box,32030,30.105553,-81.768964
Elkton,Saint Johns,Standard,32033,29.787831,-81.44668
Fernandina Beach,Nassau,Standard,32034,30.641487,-81.46092
Fernandina Beach,Nassau,P.O. Box,32035,30.551558,-81.698422
Fort White,Columbia,Standard,32038,29.922221,-82.71425
Glen Saint Mary,Baker,Standard,32040,30.272356,-82.21351
Yulee,Nassau,P.O. Box,32041,30.6233,-81.590249
Graham,Bradford,P.O. Box,32042,29.968926,-82.122553
Green Cove Springs,Clay,Standard,32043,29.97289,-81.72195
Hampton,Bradford,Standard,32044,29.863141,-82.15623
Hilliard,Nassau,Standard,32046,30.685319,-81.93061
Middleburg,Clay,P.O. Box,32050,30.031702,-81.848401
Jasper,Hamilton,Standard,32052,30.491893,-82.94876
Jennings,Hamilton,Standard,32053,30.581517,-83.13841
Lake Butler,Union,Standard,32054,30.005135,-82.38103
Lake City,Columbia,Standard,32055,30.216073,-82.6396
Lake City,Columbia,P.O. Box,32056,30.162772,-82.651184
Lawtey,Bradford,Standard,32058,30.061174,-82.0943
Lee,Madison,Standard,32059,30.421598,-83.27037
Live Oak,Suwannee,Standard,32060,30.285127,-83.04106
Lulu,Columbia,Standard,32061,30.101542,-82.50337
Mc Alpin,Suwannee,Standard,32062,30.13762,-82.98732
Macclenny,Baker,Standard,32063,30.267664,-82.12457
Live Oak,Suwannee,Standard,32064,30.331517,-82.957151
Orange Park,Clay,Standard,32065,30.133007,-81.77904
Mayo,Lafayette,Standard,32066,30.084849,-83.21849
Orange Park,Clay,P.O. Box,32067,29.956068,-81.815115
Middleburg,Clay,Standard,32068,30.074926,-81.87932
O Brien,Suwannee,Standard,32071,30.039096,-82.94481
Olustee,Baker,P.O. Box,32072,30.210947,-82.43601
Orange Park,Clay,Standard,32073,30.160965,-81.72916
Penney Farms,Clay,P.O. Box,32079,29.979095,-81.80991
Saint Augustine,Saint Johns,Standard,32080,29.838279,-81.275174
Ponte Vedra,Saint Johns,Standard,32081,29.50199,-81.600108
Ponte Vedra Beach,Saint Johns,Standard,32082,30.189934,-81.38213
Raiford,Union,Standard,32083,30.070341,-82.22371
Saint Augustine,Saint Johns,Standard,32084,29.87131,-81.29464
Saint Augustine,Saint Johns,P.O. Box,32085,29.937673,-81.420603
Saint Augustine,Saint Johns,Standard,32086,29.811123,-81.30987
Sanderson,Baker,Standard,32087,30.390734,-82.26039
Starke,Bradford,Standard,32091,29.937512,-82.11706
Saint Augustine,Saint Johns,Standard,32092,29.955409,-81.51284
Wellborn,Suwannee,Standard,32094,30.203153,-82.81421
Saint Augustine,Saint Johns,Standard,32095,29.923718,-81.33962
White Springs,Hamilton,Standard,32096,30.366085,-82.76055
Yulee,Nassau,Standard,32097,30.63928,-81.59442
Jacksonville,Duval,Standard,32099,30.337538,-81.768622
Astor,Lake,Standard,32102,29.174417,-81.56319
Barberville,Volusia,P.O. Box,32105,29.200508,-81.406458
Bunnell,Flagler,Standard,32110,29.445826,-81.30203
Candler,Marion,P.O. Box,32111,29.060711,-81.969048
Crescent City,Putnam,Standard,32112,29.425693,-81.55686
Citra,Marion,Standard,32113,29.393366,-82.09805
Daytona Beach,Volusia,Standard,32114,29.204009,-81.03602
Daytona Beach,Volusia,P.O. Box,32115,29.022729,-81.172169
Daytona Beach,Volusia,P.O. Box,32116,29.10909,-80.984344
Daytona Beach,Volusia,Standard,32117,29.238606,-81.05316
Daytona Beach,Volusia,Standard,32118,29.210309,-81.00259
Daytona Beach,Volusia,Standard,32119,29.153239,-81.02229
Daytona Beach,Volusia,P.O. Box,32120,29.022729,-81.172169
Daytona Beach,Volusia,P.O. Box,32121,29.022729,-81.172169
Daytona Beach,Volusia,P.O. Box,32122,29.022729,-81.172169
Port Orange,Volusia,P.O. Box,32123,29.022729,-81.172169
Daytona Beach,Volusia,Standard,32124,29.105506,-81.08642
Daytona Beach,Volusia,P.O. Box,32125,29.022729,-81.172169
Daytona Beach,Volusia,P.O. Box,32126,29.022729,-81.172169
Port Orange,Volusia,Standard,32127,29.116361,-80.98175
Port Orange,Volusia,Standard,32128,29.080251,-81.045962
Port Orange,Volusia,Standard,32129,29.022729,-81.172169
De Leon Springs,Volusia,Standard,32130,29.140657,-81.34497
East Palatka,Putnam,Standard,32131,29.668112,-81.59005
Edgewater,Volusia,Standard,32132,28.982714,-80.911
Eastlake Weir,Marion,P.O. Box,32133,29.008805,-81.909445
Fort Mc Coy,Marion,Standard,32134,29.401523,-81.83636
Palm Coast,Flagler,P.O. Box,32135,29.466085,-81.282815
Flagler Beach,Flagler,Standard,32136,29.47033,-81.13316
Palm Coast,Flagler,Standard,32137,29.581683,-81.21645
Grandin,Putnam,P.O. Box,32138,29.727276,-81.9205
Georgetown,Putnam,Standard,32139,29.385225,-81.61052
Florahome,Putnam,Standard,32140,29.765329,-81.85602
Edgewater,Volusia,Standard,32141,28.944915,-80.89524
Palm Coast,Flagler,P.O. Box,32142,29.466085,-81.282815
Palm Coast,Flagler,Standard,32143,29.42,-81.16
Hastings,Saint Johns,Standard,32145,29.656806,-81.46122
Hollister,Putnam,P.O. Box,32147,29.634649,-81.80743
Interlachen,Putnam,Standard,32148,29.640791,-81.88648
Interlachen,Putnam,P.O. Box,32149,29.58203,-81.744852
Lake Como,Putnam,P.O. Box,32157,29.467357,-81.57164
Lady Lake,Lake,P.O. Box,32158,28.811078,-81.653642
Lady Lake,Lake,Standard,32159,28.930573,-81.93806
Lake Geneva,Clay,P.O. Box,32160,29.768321,-81.990729
The Villages,Sumter,Standard,32162,28.945246,-81.987609
The Villages,Sumter,Standard,32163,28.93,-81.95
Palm Coast,Flagler,Standard,32164,29.499591,-81.22328
New Smyrna Beach,Volusia,Standard,32168,29.016897,-80.95736
New Smyrna Beach,Volusia,Standard,32169,28.998887,-80.87561
New Smyrna Beach,Volusia,P.O. Box,32170,29.022729,-81.172169
Ormond Beach,Volusia,P.O. Box,32173,29.022729,-81.172169
Ormond Beach,Volusia,Standard,32174,29.284924,-81.10296
Ormond Beach,Volusia,P.O. Box,32175,29.022729,-81.172169
Ormond Beach,Volusia,Standard,32176,29.316606,-81.05611
Palatka,Putnam,Standard,32177,29.666218,-81.67401
Palatka,Putnam,P.O. Box,32178,29.644306,-81.668593
Ocklawaha,Marion,Standard,32179,29.071931,-81.89073
Pierson,Volusia,Standard,32180,29.231366,-81.45095
Pomona Park,Putnam,Standard,32181,29.488583,-81.6088
